Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
3/26/2020|Suit Retail|New York City Region|Suit Supply (USA), Inc.|173|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Suit Retail|New York City Region|Suit Supply (USA), Inc.|173|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Fiberglass Manufacturing|Western Region|Unicell Body Company, Inc.|25|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Travel Center|Finger Lakes Region|TravelCenters of America|27|4/14/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/15/2020|Mechanical Contractor|Western Region|MJ Mechanical Services, Inc.|38|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Auto Dealership|Western Region|Shults Auto Group|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/15/2020|Consumer Electronics Company|Long island region|Voxx International Corporation|31|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Restaurant|Mid-Hudson Region|Barteca dba bartaco|80|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Medical Imaging|Long Island Region|Mid Rockland Imaging Partners, Inc.|16 (total across all sites)|3/25/2020 – 3/28/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/10/2020|Medical Imaging|New York City Region|Mid Rockland Imaging Partners, Inc.|66 (total across all sites)|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/16/2020|Restaurant|New York City Region|Lucky 13 Associates, LLC dba Catch New York|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/16/2020|Restaurant|New York City Region|88 Ninth Avenue Hospitality, LLC dba Catch Steak|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/20/2020|Electrical Contracting|New York City Region|Patriot Electric Corp.|||Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/27/2020|Hotel|New York City Region|Omni Berkshire Corporation dba Omni Berkshire Place Hotel|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/19/2020|Hotel|New York City Region|The Bowery Hotel, LLC|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
